cid	path_id	observed	p_value	fdr
CID_10219	R-HSA-162582_R-HSA-9006936_R-HSA-170834_R-HSA-2173793_R-HSA-2173795_Q13547	-9.87870	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006936_R-HSA-170834_R-HSA-2173793_R-HSA-2173796_Q13547	-9.47793	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5673000_O60674	-7.91484	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5673000_P12931	-7.46980	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5673000_P15056	-8.20312	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5674135_P08514	-7.94744	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5674135_P12931	-7.53653	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5674135_P15056	-8.26985	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_O00329	-9.68530	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P04626	-9.12692	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P08581	-10.30288	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P09038	-8.56488	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P10721	-9.05451	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P11362	-9.71567	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P12931	-8.15185	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_P62993	-7.98864	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_Q92731	-9.60667	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_Q9NWZ3	-9.15397	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-6807070_R-HSA-8943724_P42345	-11.53659	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-6807070_R-HSA-8943724_Q13547	-10.06583	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-6807070_R-HSA-8948751_P68400	-10.11074	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-419408_O95136	-14.07012	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-419408_P21453	-12.62759	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-372790_R-HSA-500792_R-HSA-373076_R-HSA-419408_Q99500	-13.10024	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-5684264_O14920	-8.29414	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450321_P45983	-9.57244	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450321_P53779	-8.85882	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450302_P49137	-7.39549	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-445989_O14920	-9.28117	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-445989_P05067	-8.96891	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-937039_O14920	-9.73269	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-445989_O14920	-8.49071	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-445989_P05067	-8.17845	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-937039_O14920	-8.94223	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-445989_O14920	-7.83988	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-445989_P05067	-7.52763	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-937039_O14920	-8.29141	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975110_Q9NWZ3	-10.05163	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975110_Q9NYK1	-10.36793	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975110_Q9NWZ3	-9.96436	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975110_Q9NYK1	-10.28067	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-11.04009	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-10.32648	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-10.91375	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-5684264_O14920	-11.31717	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450321_P45983	-12.59547	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450321_P53779	-11.88185	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450302_P49137	-10.41853	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-5684264_O14920	-10.52671	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450321_P45983	-11.80501	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450321_P53779	-11.09140	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450302_P49137	-9.62807	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-5684264_O14920	-9.87588	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450321_P45983	-11.15419	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450321_P53779	-10.44057	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450302_P49137	-8.97724	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-445989_O14920	-10.11315	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-445989_P05067	-9.80090	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-937041_O14920	-11.40894	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-445989_O14920	-10.08833	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-445989_P05067	-9.77607	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-975144_O14920	-11.04413	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-445989_O14920	-10.00107	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-445989_P05067	-9.68881	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-975144_O14920	-10.95687	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-445989_O14920	-9.78914	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-445989_P05067	-9.47689	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-937039_O14920	-10.24067	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-445989_O14920	-10.21279	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-445989_P05067	-9.90053	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-937039_O14920	-10.66431	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.06313	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-13.34951	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168142_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-13.93678	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-13.27267	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-12.55905	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168176_R-HSA-975871_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-13.14632	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-12.62184	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-11.90822	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-12.49549	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-5684264_O14920	-12.14915	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450321_P45983	-13.42745	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450321_P53779	-12.71384	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450302_P49137	-11.25051	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-5684264_O14920	-12.12433	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450321_P45983	-13.40263	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450321_P53779	-12.68902	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450302_P49137	-11.22569	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-5684264_O14920	-12.03707	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450321_P45983	-13.31537	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450321_P53779	-12.60175	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450302_P49137	-11.13842	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-5684264_O14920	-11.82514	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450321_P45983	-13.10345	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450321_P53779	-12.38983	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450302_P49137	-10.92650	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-5684264_O14920	-12.24879	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450321_P45983	-13.52709	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450321_P53779	-12.81347	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450302_P49137	-11.35014	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.89511	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-14.18149	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-166016_R-HSA-166166_R-HSA-937061_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-14.76876	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.87029	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-14.15667	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168138_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-14.74394	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.78302	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-14.06941	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168181_R-HSA-975155_R-HSA-975138_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-14.65667	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.57110	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-13.85748	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168179_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-14.44475	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P45983	-14.99474	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-450341_P53779	-14.28113	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-181438_R-HSA-168188_R-HSA-166058_R-HSA-450294_R-HSA-450282_R-HSA-199920_P49137	-14.86840	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-1280218_R-HSA-392517_P17612	-6.98170	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_O14672	-2.62548	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_P00749	-3.67842	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_P04066	-2.97436	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_P07384	-3.83242	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_P07858	-2.65547	0.00000	0.00000
CID_104827	R-HSA-168256_R-HSA-168249_R-HSA-6798695_P08238	-3.52538	0.00000	0.00000
